trace_id,trace_timestamp,meeting_id,guild_id,channel_id,snippet_user_id,snippet_timestamp,audio_seconds,audio_bytes,audio_attachment_bytes,audio_media_id,output_text,normalized_text,transcription_flags,suppressed,quiet_audio,quiet_by_peak,quiet_by_activity,hard_silence_detected,rate_mismatch_detected,prompt_echo_detected,prompt_echo_metrics,logprob_avg,logprob_min,logprob_tokens,transcript_char_count,transcript_word_count,transcript_syllable_count,words_per_second,syllables_per_second,noise_gate_metrics,trace_url_path,classification,classification_reasons,duplicate_group_id,near_duplicate_group_id,audio_mean_volume_db,audio_max_volume_db,audio_volume_status,full_transcript_match_score,full_transcript_match_method,full_transcript_match_window,full_transcript_match_found
1e8da7f2b4760ba7667649994c219f3c,2026-02-10T00:00:00.258Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,283102779772502016,1770681587218,8.66,1662720,22940,coll41om5p2yYeKL940UhP,Are you playing PowerWash Sim 2 also? Want to play with me?,are you playing powerwash sim 2 also want to play with me,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": true, ""normalizedPromptLength"": 315, ""normalizedTranscriptLength"": 57, ""transcriptWordCount"": 12, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityRatio"": 0.8421052631578947, ""similarityThreshold"": 0.2, ""comparedLength"": 57, ""distance"": 48}",-0.12480908553288828,-0.8886208534240723,16,59,12,15,1.3856812933025404,1.7321016166281755,"{""windowMs"": 20, ""totalWindows"": 433, ""peakDbfs"": -0.00026507636037961915, ""noiseFloorDbfs"": -90.30899869919436, ""activeWindowCount"": 252, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/1e8da7f2b4760ba7667649994c219f3c,legit,clean_metrics,1,1,-21.4,-0.0,,0.49397590361445787,fuzzy,11|29,False
fc62fd92de46f564c767b3ca75513ad8,2026-02-10T00:00:04.395Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,283102779772502016,1770681587218,11.8,2265600,32300,3-qGNr5RImTRWPeZQuuc_N,Are you playing PowerWash Sim 2 also?,are you playing powerwash sim 2 also,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": true, ""normalizedPromptLength"": 315, ""normalizedTranscriptLength"": 36, ""transcriptWordCount"": 7, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityRatio"": 0.8611111111111112, ""similarityThreshold"": 0.2, ""comparedLength"": 36, ""distance"": 31}",-0.13529691422227189,-0.8207680583000183,10,37,7,10,0.5932203389830508,0.847457627118644,"{""windowMs"": 20, ""totalWindows"": 590, ""peakDbfs"": -0.00026507636037961915, ""noiseFloorDbfs"": -90.30899869919436, ""activeWindowCount"": 363, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/fc62fd92de46f564c767b3ca75513ad8,legit,clean_metrics,,,-21.8,-0.0,,0.5,fuzzy,11|24,False
9da778bee22f01aae608153360a372c9,2026-02-10T00:00:08.560Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,283102779772502016,1770681587218,13.9,2668800,34784,fWTlpUF3scSlf4KVaICl0v,Are you playing PowerWash Sim 2 also? Want to play with me?,are you playing powerwash sim 2 also want to play with me,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": true, ""normalizedPromptLength"": 321, ""normalizedTranscriptLength"": 57, ""transcriptWordCount"": 12, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityRatio"": 0.8421052631578947, ""similarityThreshold"": 0.2, ""comparedLength"": 57, ""distance"": 48}",-0.11681339506185395,-0.7149233818054199,16,59,12,15,0.8633093525179856,1.079136690647482,"{""windowMs"": 20, ""totalWindows"": 695, ""peakDbfs"": -0.00026507636037961915, ""noiseFloorDbfs"": -90.30899869919436, ""activeWindowCount"": 390, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/9da778bee22f01aae608153360a372c9,legit,clean_metrics,1,1,-22.5,-0.0,,0.49397590361445787,fuzzy,11|29,False
44d0005b76b33100c52c6bee8c25c27f,2026-02-10T00:00:14.351Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,410270160406970369,1770681584835,25.94,4980480,97316,1BDqRldKCvv3BM82T48Pah,"Yes, yes. I'm playing PowerWash Simulator and you're playing PowerWash Simulator too. I noticed that on the Smash. Yeah, I'm playing the first one, but yeah. I saw on two they're gonna get that Adventure Time DLC in like April. That looks pretty fun.",yes yes i m playing powerwash simulator and you re playing powerwash simulator too i noticed that on the smash yeah i m playing the first one but yeah i saw on two they re gonna get that adventure time dlc in like april that looks pretty fun,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": true, ""normalizedPromptLength"": 321, ""normalizedTranscriptLength"": 241, ""transcriptWordCount"": 48, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityRatio"": 0.8049792531120332, ""similarityThreshold"": 0.2, ""comparedLength"": 241, ""distance"": 194}",-0.15536570657441603,-1.4354872703552246,55,250,44,63,1.6962220508866614,2.428681572860447,"{""windowMs"": 20, ""totalWindows"": 1297, ""peakDbfs"": -0.00026507636037961915, ""noiseFloorDbfs"": -52.24719895935549, ""activeWindowCount"": 863, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/44d0005b76b33100c52c6bee8c25c27f,legit,clean_metrics,2,2,-22.4,-0.0,,0.5622641509433962,fuzzy,35|89,False
cbe16a4aa4631400553428756d911d39,2026-02-10T00:00:15.146Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,410270160406970369,1770681584835,25.94,4980480,97316,1BDqRldKCvv3BM82T48Pah,"Yes, yes. I'm playing PowerWash Simulator and you're playing PowerWash Simulator too. I noticed that on the Smash. Yeah, I'm playing the first one, but yeah. I saw on two they're gonna get that Adventure Time DLC in like April. That looks pretty fun.",yes yes i m playing powerwash simulator and you re playing powerwash simulator too i noticed that on the smash yeah i m playing the first one but yeah i saw on two they re gonna get that adventure time dlc in like april that looks pretty fun,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": true, ""normalizedPromptLength"": 321, ""normalizedTranscriptLength"": 241, ""transcriptWordCount"": 48, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityRatio"": 0.8049792531120332, ""similarityThreshold"": 0.2, ""comparedLength"": 241, ""distance"": 194}",-0.14635220329127646,-1.5355358123779297,55,250,44,63,1.6962220508866614,2.428681572860447,"{""windowMs"": 20, ""totalWindows"": 1297, ""peakDbfs"": -0.00026507636037961915, ""noiseFloorDbfs"": -52.24719895935549, ""activeWindowCount"": 863, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/cbe16a4aa4631400553428756d911d39,legit,clean_metrics,2,2,-22.4,-0.0,,0.5622641509433962,fuzzy,35|89,False
493c0e45d911b5d31786330f6299eb58,2026-02-10T00:00:16.312Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,283102779772502016,1770681611655,1.62,311040,5804,YejgzFZsja6q4805MrUbeI,Hey BASIC,hey basic,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": false, ""normalizedPromptLength"": 321, ""normalizedTranscriptLength"": 9, ""transcriptWordCount"": 2, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityThreshold"": 0.2}",-0.14030275586992502,-0.25392210483551025,2,9,2,3,1.2345679012345678,1.8518518518518516,"{""windowMs"": 20, ""totalWindows"": 81, ""peakDbfs"": -10.287311073349962, ""noiseFloorDbfs"": -72.24719895935549, ""activeWindowCount"": 59, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/493c0e45d911b5d31786330f6299eb58,legit,clean_metrics,3,,-29.0,-10.2,,1.0,substring,,True
24d26b941a9c0a85c8680dec1d87df9e,2026-02-10T00:00:17.151Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,283102779772502016,1770681611655,1.62,311040,5804,YejgzFZsja6q4805MrUbeI,Hey BASIC.,hey basic,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": false, ""normalizedPromptLength"": 321, ""normalizedTranscriptLength"": 9, ""transcriptWordCount"": 2, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityThreshold"": 0.2}",-0.3750819265842438,-0.8428714275360107,3,10,2,3,1.2345679012345678,1.8518518518518516,"{""windowMs"": 20, ""totalWindows"": 81, ""peakDbfs"": -10.287311073349962, ""noiseFloorDbfs"": -72.24719895935549, ""activeWindowCount"": 59, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/24d26b941a9c0a85c8680dec1d87df9e,legit,clean_metrics,3,,-29.0,-10.2,,1.0,substring,,True
52290ab5e3b420c86b9b39b4c3d7c697,2026-02-10T00:00:17.954Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,410270160406970369,1770681614049,0.82,157440,,,Hello,hello,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": false, ""normalizedPromptLength"": 321, ""normalizedTranscriptLength"": 5, ""transcriptWordCount"": 1, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityThreshold"": 0.2}",-0.16900794208049774,-0.16900794208049774,1,5,1,2,1.2195121951219512,2.4390243902439024,"{""windowMs"": 20, ""totalWindows"": 41, ""peakDbfs"": -7.931804791002623, ""noiseFloorDbfs"": null, ""activeWindowCount"": 32, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/52290ab5e3b420c86b9b39b4c3d7c697,legit,clean_metrics,4,,,,,1.0,substring,,True
e7da5e0908d6a86ad3b3ee7911f8e795,2026-02-10T00:00:18.747Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,211750261922725888,1770681613262,1.1,211200,2888,3bkBk1u71oBGyTDIuCqOkv,Nope,nope,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": false, ""normalizedPromptLength"": 321, ""normalizedTranscriptLength"": 4, ""transcriptWordCount"": 1, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityThreshold"": 0.2}",-0.5121081545948982,-0.9047977328300476,2,4,1,1,0.9090909090909091,0.9090909090909091,"{""windowMs"": 20, ""totalWindows"": 55, ""peakDbfs"": -4.671975453028022, ""noiseFloorDbfs"": null, ""activeWindowCount"": 38, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/e7da5e0908d6a86ad3b3ee7911f8e795,legit,clean_metrics,5,,-29.5,-5.1,,,fuzzy,,False
2838c04ac97a9ff89f24c0fc7a62f258,2026-02-10T00:00:19.512Z,3837e4e0-64e9-44ba-b5de-c3a6849832d6,480695542155051010,1162985500995493959,211750261922725888,1770681613262,1.1,211200,2888,3bkBk1u71oBGyTDIuCqOkv,Nope,nope,,False,False,False,False,False,False,False,"{""enabled"": true, ""eligible"": false, ""normalizedPromptLength"": 321, ""normalizedTranscriptLength"": 4, ""transcriptWordCount"": 1, ""minChars"": 12, ""minWords"": 2, ""substringMatch"": false, ""similarityMatch"": false, ""similarityThreshold"": 0.2}",-0.4749567434191704,-0.8152841925621033,2,4,1,1,0.9090909090909091,0.9090909090909091,"{""windowMs"": 20, ""totalWindows"": 55, ""peakDbfs"": -4.671975453028022, ""noiseFloorDbfs"": null, ""activeWindowCount"": 38, ""minActiveWindows"": 2, ""minPeakAboveNoiseDb"": 15, ""thresholdDbfs"": -45}",/project/cmjrpt3y8012kad072p82e3fc/traces/2838c04ac97a9ff89f24c0fc7a62f258,legit,clean_metrics,5,,-29.5,-5.1,,,fuzzy,,False
